gene_id,velocity_gamma,velocity_r2,velocity_genes,means,dispersions,dispersions_norm,highly_variable,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_diff_kinetics,fit_pval_kinetics
AT1G73620,0.016054362,0.3448413610458374,True,0.017896622162049933,0.4027316756319054,3.0211482900423507,True,1.6081100912367678,52.99777336306839,1.0298776601332207,1.752867439102072,0.033740281686186785,0.007781628519296646,0.363247275352478,2.239933982542367e-28,0.0,0.0,0.4463299474180733,0.023633203576323463,0.952945993121328,0.7116891869756768,0.7549660821600254,Endodermis,4.8817337402256427e-05
AT4G22212,0.020261694,0.4850059151649475,True,0.38162739605466817,0.495755667189991,1.594402920728759,True,1.101423416213047,23.97337725018348,0.5195785052469907,9.409647904642656,0.02905452632345259,0.01447078213095665,0.7059944272041321,0.32390866471218893,0.0,0.0,0.46983315126634234,0.03923366938237204,1.5214899655046135,0.36425602835942783,1.7443485108711847,,
AT3G54040,0.08073237,0.8879939839243889,True,0.11879955415034138,0.5287981578360131,2.264728259433349,True,1.1054196221676977,6.771616980054725,0.4513589830215035,11.533953935188679,0.031219038572162388,0.04746187850832939,0.7183352708816528,0.2776410694394434,0.0,0.0,0.47775044837256103,0.10658988063331595,1.6692220987511222,0.2591253928831506,2.1286320856159144,,
AT3G04330,0.0,0.0,False,0.2084949787445914,0.649602655380666,2.0359164497631865,True,,,,,,,,,,,,,,,,,
AT2G15300,0.0005937502,0.028307020664215088,False,0.039710422430853015,0.5234235014005874,3.6050073009211956,True,,,,,,,,,,,,,,,,,
AT2G05520,0.14664742,0.5063024163246155,True,0.009459853346185874,0.2287952878755045,2.1797132826216283,True,0.14254053424710678,3.631208309759549,0.4394520024525545,4.2036557034763575,0.1671336703871687,0.009868341498076916,0.06991865485906601,0.009176827073165092,0.0,0.0,0.23700198712893328,0.031131273672124538,0.2001040888195536,0.8021218518849854,1.8118115929753713,"Cortex,Pericycle",0.0027393169641709196
AT1G72490,0.11064443,0.833116352558136,True,0.052676607680527135,0.3534374074785652,2.782682242630265,True,1.9086520502546,15.009492603102256,1.4381627154837449,11.849952137023564,0.04239799624308944,0.02997620776295662,0.3340666890144348,0.1504467004500743,0.0,0.0,0.4702839838560371,0.09928045297789678,0.9609967239506157,1.68733585575204,0.7071331066898116,Columella,4.365243005215274e-09
AT2G45180,0.0,0.0,False,0.247244617719883,0.6069117455220582,1.8860943280507685,True,,,,,,,,,,,,,,,,,
AT5G16010,0.005749676,0.28526753187179565,False,0.27503784701027933,0.5778853616479838,1.8921754548356235,True,,,,,,,,,,,,,,,,,
AT1G27380,0.26766887,0.8882808685302734,True,0.035849373024019145,0.2150632144492724,2.1132829775293676,True,1.3103110578951558,5.405001226334507,1.1741785528392992,6.260293311291821,0.10128566969186069,0.05846228823065758,0.27272793650627136,0.16552624105265817,0.0,0.0,0.47118690949274894,0.17828700407080864,0.7867342282231127,0.3701139825613677,0.8219941239633568,Xylem,2.966472707404628e-17
AT3G18260,0.5476611,0.47081631422042847,True,0.0003551373508712811,0.29659418685408584,2.5076973680739263,True,1.4727856922340234,34.626799188679996,16.282868254574165,0.13190035681902504,0.26688494682312014,0.014040451496839523,0.023673882707953453,7.263602924442306e-28,0.0,0.0,0.24221649210749963,0.049944690700967485,0.08663055587335136,2.0222732587623065,0.05112877477533753,Phloem,0.009602729576339643
